point,x,y
1,0.364,-0.082
2,0.483,-0.082
3,0.441,-0.098
4,0.5,-0.098
5,0.483,-0.148
6,0.898,-0.082
7,0.898,-0.098
8,0.839,-0.082
9,0.898,-0.164
10,0.898,-0.189
11,0.864,-0.18
12,0.78,-0.123
13,0.78,-0.164
14,0.763,-0.148
15,0.949,-0.525
16,0.966,-0.541
17,0.898,-0.754
18,0.898,-0.779
19,1,-0.836
20,0.966,-0.959
21,0.864,-0.902
22,0.746,-0.902
23,0.678,-0.246
24,0.703,-0.279
25,0.729,-0.262
26,0.686,-0.328
27,0.644,-0.279
28,0.61,-0.344
29,0.627,-0.344
30,0.644,-0.361
31,0.5,-0.598
32,0.525,-0.574
33,0.585,-0.574
34,0.559,-0.639
35,0.525,-0.656
36,0.483,-0.672
37,0.22,-0.795
38,0.22,-0.836
39,0.263,-0.852
40,0.288,-0.852
41,0.339,-0.836
42,0.381,-0.836
43,0.407,-0.852
44,0.263,-0.697
45,0.441,-0.82
46,0.483,-0.82
47,0.483,-0.77
48,0.508,-0.754
49,0.441,-0.754
50,0.186,-0.377
51,0.186,-0.402
52,0.203,-0.426
53,0.22,-0.459
54,0.237,-0.475
55,0.203,-0.5
56,0.203,-0.525
57,0.102,-0.574
58,0.119,-0.574
59,0.136,-0.574
60,0.119,-0.623
61,0.186,-0.541
62,0.186,-0.557
